timestamp_iso,raw_tof,filtered_tof,t_detect,t_stop_command,response_time,total_time_from_start
2025-08-01T16:20:34.803932,385,386.2183629695728,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.836191,384,385.68804727710597,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.901363,385,385.5235646053281,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.938363,385,385.39840270439754,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.001524,385,385.30316166000523,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.040383,386,385.46974589886986,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.099101,386,385.59650697209423,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.144092,386,385.6929648950917,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.187686,386,385.7663638548221,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.247745,385,385.5831590394127,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.297323,385,385.4437506585272,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.361253,384,385.0986116345136,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.401066,384,384.8359805873403,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.461593,382,384.1580189419169,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.501409,384,384.1202433723843,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.560970,384,384.0914983256245,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.601007,384,384.0696249899357,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.661415,385,384.2920378567584,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.700843,384,384.2222240975325,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:35.761574,384,384.16909982175696,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
